"ASN","OrgName","Info","Date"
"174","Cogent Communications","CyberGhost VPN","2024-04-07"
"852","TELUS Communications Inc.","HMA VPN","2024-04-07"
"3223","Voxility LLP","Pure VPN","2024-04-07"
"8100","QuadraNet Enterprises LLC","Mullvad VPN, Windscribe VPN","2024-04-07"
"9009","M247 Europe SRL","CyberGhost VPN, ExpressVPN, HMA VPN, NordVPN, Pure VPN, Surfshark VPN, TunnelBear VPN, Windscribe VPN","2024-04-07"
"11878","Tzulo Inc","Mullvad VPN, Windscribe VPN","2024-04-07"
"13213","UK-2 Limited","ExpressVPN, Mullvad VPN, TunnelBear VPN","2024-04-07"
"14061","DigitalOcean, LLC","TunnelBear VPN","2024-04-07"
"18345","Servers Australia Customers","CyberGhost VPN","2024-04-07"
"19148","Leaseweb USA, Inc.","HMA VPN","2024-04-07"
"20473","The Constant Company, LLC","TunnelBear VPN","2024-04-07"
"20860","IOMART CLOUD SERVICES LIMITED","Pure VPN","2024-04-07"
"21859","Zenlayer Inc","TunnelBear VPN","2024-04-07"
"25369","Hydra Communications Ltd","NordVPN, Surfshark VPN","2024-04-07"
"29802","HIVELOCITY, Inc.","ExpressVPN","2024-04-07"
"29838","Atlantic Metro Communications II, Inc.","TunnelBear VPN","2024-04-07"
"30633","Leaseweb USA, Inc.","HMA VPN","2024-04-07"
"32181","GigeNET","CyberGhost VPN, ExpressVPN","2024-04-07"
"32489","Amanah Tech Inc.","HMA VPN, Windscribe VPN","2024-04-07"
"36352","HostPapa","TunnelBear VPN","2024-04-07"
"39351","31173 Services AB","Mullvad VPN","2024-04-07"
"40676","Psychz Networks","Pure VPN","2024-04-07"
"42831","UK Dedicated Servers Limited","ExpressVPN","2024-04-07"
"43357","Owl Limited","Mullvad VPN","2024-04-07"
"45671","Wholesale Services Provider","CyberGhost VPN, Pure VPN","2024-04-07"
"46475","Limestone Networks, Inc.","TunnelBear VPN","2024-04-07"
"46562","Performive LLC","CyberGhost VPN, HMA VPN, Mullvad VPN, Surfshark VPN","2024-04-07"
"50304","Blix Solutions AS","Mullvad VPN","2024-04-07"
"53340","VegasNAP, LLC","CyberGhost VPN","2024-04-07"
"55536","Pacswitch Globe Telecom Limited","Windscribe VPN","2024-04-07"
"60068","Datacamp Limited","CyberGhost VPN, HMA VPN, Surfshark VPN, Windscribe VPN","2024-04-07"
"61317","Hivelocity Inc","CyberGhost VPN, HMA VPN, Windscribe VPN","2024-04-07"
"62240","Clouvider","ExpressVPN, NordVPN, Surfshark VPN","2024-04-07"
"63018","Dedicated.com","Pure VPN, TunnelBear VPN","2024-04-07"
"136557","Host Universal Pty Ltd","Mullvad VPN, Surfshark VPN","2024-04-07"
"136787","TEFINCOM S.A.","NordVPN","2024-04-07"
"137409","GSL Networks Pty LTD","ExpressVPN, NordVPN","2024-04-07"
"141039","PacketHub S.A.","NordVPN","2024-04-07"
"147049","PacketHub S.A.","NordVPN","2024-04-07"
"197155","Artnet Sp. z o.o.","Surfshark VPN","2024-04-07"
"198605","AVAST Software s.r.o.","HMA VPN","2024-04-07"
"203020","HostRoyale Technologies Pvt Ltd","Surfshark VPN","2024-04-07"
"206092","IPXO LIMITED","ExpressVPN","2024-04-07"
"206264","Amarutu Technology Ltd","Pure VPN","2024-04-07"
"207083","HostSlim B.V.","Windscribe VPN","2024-04-07"
"207137","PacketHub S.A.","NordVPN","2024-04-07"
"209854","Cyberzone S.A.","Surfshark VPN","2024-04-07"
"212238","Datacamp Limited","CyberGhost VPN, HMA VPN, Mullvad VPN, NordVPN, Pure VPN, Surfshark VPN, Windscribe VPN","2024-04-07"
"262287","Latitude.sh LTDA","ExpressVPN","2024-04-07"
"394256","Tech Futures Interactive Inc.","Pure VPN","2024-04-07"
"396356","Latitude.sh","ExpressVPN, NordVPN, TunnelBear VPN","2024-04-07"
"397540","Windscribe Limited","Windscribe VPN","2024-04-07"
