"Permission",PermissionType","DisplayText","AdminConsentRequired","Severity"
"Application.ReadWrite.All","Application","Read and write all applications","Yes","Red"
"Calendars.Read","Application","Read calendars in all mailboxes","Yes","Red"
"Calendars.ReadWrite","Application","Read and write calendars in all mailboxes","Yes","Red"
"Contacts.Read","Application","Read contacts in all mailboxes","Yes","Red"
"Contacts.ReadWrite","Application","Read and write contacts in all mailboxes","Yes","Red"
"Directory.ReadWrite.All","Application","Read and write directory data","Yes","Red"
"Mail.Read","Application","Read mail in all mailboxes","Yes","Red"
"Mail.ReadWrite","Application","Read and write mail in all mailboxes","Yes","Red"
"Mail.Send","Application","Send mail as any user","Yes","Red"
"MailboxSettings.Read","Application","Read all user mailbox settings","Yes","Red"
"MailboxSettings.ReadWrite","Application","Read and write all user mailbox settings","Yes","Red"
