"Name","Language"
"Archiv","German"
"Archive","English, French"
"Archiveren","Dutch"
"Archivio","Italian"
"Archivo","Spanish"
"Arkiv","Danish, Swedish"
"Arkiver","Norwegian"
"Arquivo","Portuguese"
"Conversation History","English"
"Correo no deseado","Spanish"
"Courrier indésirable","French"
"Cronologia delle conversazioni","Italian"
"E-mail de Lixo","Portuguese"
"Gesprekgeschiedenis","Dutch"
"Historial de conversaciones","Spanish"
"Histórico de Conversações","Portuguese"
"Historique des conversations","French"
"Junk Email","English"
"Junk-E-Mail","German"
"Konversationshistorik","Swedish"
"Ongewenste e-mail","Dutch"
"Posta indesiderata","Italian"
"RSS Feeds","English"
"RSS Subscriptions","English"
"RSS-feeder","Norwegian"
"RSS-Feeds","German"
"RSS-syötteet","Finnish, Swedish"
"RSS-подписки","Russian"
"Samtalehistorik","Danish"
"Samtalelogg","Norwegian"
"Skräppost","Swedish"
"Søppelpost","Norwegian"
"Sottoscrizioni RSS","Italian"
"Uønsket mail","Danish"
"Verlauf der Unterhaltung","German"
