"UserAgent","Category","Severity"
"AADInternals","Offensive Tool","Red"
"azurehound","Offensive Tool","Red"
"AzurePowershell/","Offensive Tool","Yellow"
"PostmanRuntime/","Offensive Tool","Yellow"
"PowerShell/5.1","Offensive Tool","Yellow"
"PowerShell/7","Offensive Tool","Yellow"
"python-requests","Offensive Tool","Yellow"
"python/","Offensive Tool","Yellow"
"axios/","Password Spraying Attack","Red"
"agentaxios","Password Spraying Attack","Red"
"BAV2ROPC","Password Spraying Attack","Red"
"fasthttp","Password Spraying Attack","Red"
