"ASN","OrgName","Info","Date"
"AS13916","Proofpoint, Inc.","proofpoint.com","2024-08-19"
"AS22616","ZSCALER, INC.","zscaler.com","2024-08-19"
"AS22843","Proofpoint, Inc.","proofpoint.com","2024-08-19"
"AS26211","Proofpoint, Inc.","proofpoint.com","2024-08-19"
"AS30215","Cisco Systems IronPort Division","cisco.com","2024-08-19"
"AS30238","Cisco Systems IronPort Division","cisco.com","2024-08-19"
"AS33538","Mimecast North America Inc","mimecast.com","2024-08-19"
"AS39588","Mimecast Services Limited","mimecast.com","2024-08-19"
"AS42427","Mimecast Services Limited","mimecast.com","2024-08-19"
"AS52129","Proofpoint, Inc.","proofpoint.com","2024-08-19"
"AS53813","ZSCALER, INC.","zscaler.com","2023-11-06"
"AS62044","Zscaler Switzerland GmbH","zscaler.com","2023-11-06"
